adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0.0
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2014-10-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2014-11-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2014-12-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-01-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-02-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-03-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-04-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-05-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-06-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-07-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-08-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-09-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-10-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-11-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2015-12-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-01-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-02-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-03-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-04-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-05-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-06-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-07-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-08-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-09-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-10-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-11-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2016-12-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2017-01-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2017-02-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
